Give me all Danish movies.	resource	dbo:Film
What is the most frequent cause of death?	resource	dbo:Disease
Who are the four youngest MVP basketball players?	resource	dbo:BasketballPlayer
Give me all companies in Munich.	resource	dbo:Company
Give me the capitals of all countries that the Himalayas run through.	resource	dbo:Settlement
How many movies did Park Chan-wook direct?	number
Which rivers flow into a German lake?	resource	dbo:River
How many airlines are there?	number
Give me all islands that belong to Japan.	resource	dbo:Island
How many inhabitants does Maribor have?	number
Give me all Apollo 14 astronauts.	resource	dbo:Astronaut
Which companies have more than 1 million employees?	resource	dbo:Company
In which films directed by Garry Marshall was Julia Roberts starring?	resource	dbo:Film
Give me all soccer clubs in the Premier League.	resource	dbo:SoccerClub
What is the highest place of the Urals?	resource	dbo:Mountain
Who is the governor of Wyoming?	resource	dbo:OfficeHolder
Where did the architect of the Eiffel Tower study?	resource	dbo:School
Give me all world heritage sites designated within the past two years.	resource	dbo:WorldHeritageSite
Give me all actors who were born in Paris after 1950.	resource	dbo:Actor
Which movies star both Liz Taylor and Richard Burton?	resource	dbo:Film
Give me all Australian nonprofit organizations.	resource	dbo:Organisation
Which pope succeeded John Paul II?	resource	dbo:Pope
Give me all ESA astronauts.	resource	dbo:Astronaut
Who was president of Pakistan in 1978?	resource	dbo:OfficeHolder
Who is the owner of Rolls-Royce?	resource	dbo:Company
How many museums does Paris have?	number
Where was JFK assassinated?	resource	dbo:City
Give me all federal chancellors of Germany.	resource	dbo:OfficeHolder
Show me everyone who was born on Halloween.	resource	dbo:Person
Which beer originated in Ireland?	resource	dbo:Beverage
To which countries does the Himalayan mountain system extend?	resource	dbo:Country
Which actors were born in Germany?	resource	dbo:Actor
How much carbs does peanut butter have?	number
Who produced the most films?	resource	dbo:Producer
How many employees does Google have?	number
Give me all actors who were born in Berlin.	resource	dbo:Actor
Who created Goofy?	resource	dbo:ComicsCreator
Which music albums contain the song Last Christmas?	resource	dbo:Album
When was Alberta admitted as province?	date
How many missions does the Soyuz programme have?	number
Give me all the TV shows with Neil Patrick Harris.	resource	dbo:TelevisionShow
When were the Hells Angels founded?	date
What is the net income of Apple?	number
Give me all Swedish holidays.	resource	dbo:Holiday
In which city was the former Dutch queen Juliana buried?	resource	dbo:City
List all the musicals with music by Leonard Bernstein.	resource	dbo:Musical
Give me all companies in the advertising industry.	number
What is the largest metropolitan area in Washington state?	resource
Who killed John Lennon?	resource	dbo:Criminal
Which writers studied in Istanbul?	resource	dbo:Writer
Give me all Australian metalcore bands.	resource	dbo:Band
Which countries adopted the Euro?	resource	dbo:Country
Give me all types of eating disorders.	resource	dbo:Disease
Was Marc Chagall a jew?	boolean
What was Brazil's lowest rank in the FIFA World Ranking?	number
How many films did Leonardo DiCaprio star in?	number
Was Margaret Thatcher a chemist?	boolean
Which U.S. states are in the same time zone as Utah?	resource	dbo:AdministrativeRegion
Give me all books written by Danielle Steel.	resource	dbo:Book
Which country has the most official languages?	resource	dbo:Country
What is the total amount of men and women serving in the FDNY?	number
Which actor played Chewbacca?	resource	dbo:Athlete
Give me all libraries established earlier than 1400.	resource	dbo:Library
Which programming languages were influenced by Perl?	resource	dbo:ProgrammingLanguage
In which U.S. state is Mount McKinley located?	resource	dbo:AdministrativeRegion
What airlines are part of the SkyTeam alliance?	resource	dbo:Airline
Which ships were called after Benjamin Franklin?	resource	dbo:Ship
Give me all Methodist politicians.	resource	dbo:Politician
What other books have been written by the author of The Fault in Our Stars?	resource	dbo:Book
What is the highest mountain?	resource	dbo:Mountain
Which poet wrote the most books?	resource	dbo:Writer
Which programming languages influenced Javascript?	resource	dbo:ProgrammingLanguage
Which musician wrote the most books?	resource	dbo:Writer
Which films starring Clint Eastwood did he direct himself?	resource	dbo:Film
Which software has been developed by organizations founded in California?	resource	dbo:Software
Which instruments does Cat Stevens play?	resource	dbo:Instrument
How many airlines are members of the Star Alliance?	number
Give me all actors called Baldwin.	resource	dbo:Actor
Who wrote The Hunger Games?	resource	dbo:Writer
For which label did Elvis record his first album?	resource	dbo:RecordLabel
Is Christian Bale starring in Batman Begins?	boolean
Where is the residence of the prime minister of Spain?	resource	dbo:Building
Which actor was casted in the most movies?	resource	dbo:Actor
Which countries have more than two official languages?	resource	dbo:Country
Which countries have more than ten caves?	resource	dbo:Country
Show me all songs from Bruce Springsteen released between 1980 and 1990.	resource	dbo:Single
Which television shows were created by John Cleese?	resource	dbo:TelevisionShow
When did Latvia join the EU?	date
Which soccer players were born on Malta?	resource	dbo:SoccerPlayer
How many politicians graduated from Columbia University?	number
Give me the birthdays of all actors of the television show Charmed.	date
Which telecommunications organizations are located in Belgium?	number
Give me a list of all lakes in Denmark.	resource	dbo:Lake
How many children does Eddie Murphy have?	number
Show me all English Gothic buildings in Kent.	resource	dbo:HistoricBuilding
Who is the manager of Real Madrid?	resource	dbo:SoccerManager
In which countries can you pay using the West African CFA franc?	resource	dbo:Country
Which holidays are celebrated around the world?	resource	dbo:Holiday
What is the longest river?	resource	dbo:River
Which organizations were founded in 1930?	resource	dbo:Organisation
What is the birth name of Angela Merkel?	string
Who has Tom Cruise been married to?	resource	dbo:Person
Which weapons did Heckler & Koch develop?	resource	dbo:Weapon
What is the smallest city by area in Germany?	resource	dbo:Town
What is the ruling party in Lisbon?	resource	dbo:PoliticalParty
How heavy is Jupiter's lightest moon?	number
How many employees does IBM have?	number
List all episodes of the first season of the HBO television series The Sopranos!	resource	dbo:TelevisionEpisode
What does ICRO stand for?	resource	dbo:Organisation
Does the new Battlestar Galactica series have more episodes than the old one?	boolean
Give me all films produced by Hal Roach.	resource	dbo:Film
Who played Agent Smith in Matrix?	resource	dbo:Actor
Which Greek parties are pro-European?	resource	dbo:PoliticalParty
Give me a list of all bandleaders that play trumpet.	resource	dbo:MusicalArtist
What is the second highest mountain on Earth?	resource	dbo:Mountain
Is Egypts largest city also its capital?	boolean
Which rockets were launched from Baikonur?	resource	dbo:Rocket
How many programming languages are there?	number
Which Chess players died in the same place they were born in?	resource	dbo:ChessPlayer
Who is the owner of Facebook?	resource	dbo:BusinessPerson
Give me all movies with Tom Cruise.	resource	dbo:Film
In which U.S. state is Fort Knox located?	resource	dbo:AdministrativeRegion
Give me all cities in New Jersey with more than 100000 inhabitants.	resource	dbo:City
Which mountains are higher than the Nanga Parbat?	resource	dbo:Mountain
Give me all B-sides of the Ramones.	string
What are the specialities of the UNC Health Care?	resource	dbo:Disease
When was Olof Palme shot?	date
List the seven kings of Rome.	resource	dbo:Royalty
Give me all people that were born in Vienna and died in Berlin.	resource	dbo:Person
Is Darth Vader Luke’s father?	boolean
Show me all the breweries in Australia.	resource	dbo:Brewery
Give me all films produced by Steven Spielberg with a budget of at least $80 million.	resource	dbo:Film
Give me all soccer clubs in Spain.	resource	dbo:SoccerClub
Who produced films starring Natalie Portman?	resource	dbo:Producer
Give me all breeds of the German Shepherd dog.	resource	dbo:Dog
Who is the heaviest player of the Chicago Bulls?	resource	dbo:BasketballPlayer
Which languages are spoken in Estonia?	resource	dbo:Language
What is the largest country in the world?	resource	dbo:Country
What is the largest city in america?	resource	dbo:City
Who was the pope that founded the Vatican Television?	resource	dbo:Pope
Who discovered Ceres?	resource	dbo:Scientist
Who is the king of the Netherlands?	resource	dbo:Royalty
Is Cola a beverage?	boolean
What is the alma mater of the chancellor of Germany Angela Merkel?	resource	dbo:University
Who wrote the book Les Piliers de la terre?	resource	dbo:Writer
Which airports does Yeti Airlines serve?	resource	dbo:Airport
Where is the birthplace of Goethe?	resource	dbo:City
Was the Cuban Missile Crisis earlier than the Bay of Pigs Invasion?	boolean
Which ingredients do I need for carrot cake?	resource	dbo:ChemicalCompound
Who created Wikipedia?	resource	dbo:Person
What is the highest mountain in Saxony Germany?	resource	dbo:Mountain
Who is the current federal minister of finance in Germany?	resource	dbo:OfficeHolder
In which country is Mecca located?	resource	dbo:Country
Who played Gus Fring in Breaking Bad?	resource	dbo:Actor
In which country does the Nile start?	resource	dbo:Country
In which state Penn State University is located?	resource	dbo:AdministrativeRegion
What is the biggest stadium in Spain?	resource	dbo:Stadium
Who is the coach of Ankara's ice hockey team?	resource	dbo:Coach
How large is the area of UK?	number
Who created Batman?	resource	dbo:ComicsCreator
Was Sigmund Freud married?	boolean
Who are the developers of DBpedia?	resource	dbo:University
Give me all movies directed by Francis Ford Coppola.	resource	dbo:Film
Are tree frogs a type of amphibian?	boolean
What is the location of the Houses of Parliament?	resource	dbo:Location
how much is the elevation of Düsseldorf Airport ?	number
How much is the population of mexico city ?	number
when was the founding date of french fifth republic?	date
Who was the first King of England?	resource	dbo:Royalty
Who is the editor of Forbes?	resource	dbo:Journalist
Which awards did Douglas Hofstadter win?	resource	dbo:Award
Who is the youngest Darts player?	resource	dbo:DartsPlayer
Is horse racing a sport?	boolean
Which river does the Brooklyn Bridge cross?	resource	dbo:BodyOfWater
How many people live in Poland?	number
When was the last episode of the TV series Friends aired?	date
Is the wife of president Obama called Michelle?	boolean
Who is 8th president of US?	string
how much is the total population of  european union?	number
Give me all launch pads operated by NASA.	resource	dbo:LaunchPad
Who developed the video game World of Warcraft?	resource	dbo:Company
What is the birth name of Adele?	string
What is the population of Cairo?	number
Is Frank Herbert still alive?	boolean
What is the last work of Dan Brown?	resource	dbo:Book
Where is Sungkyunkwan University?	resource	dbo:Location
Who is the author of the interpretation of dreams?	resource	dbo:Scientist
When was the death  of  Shakespeare?	date
Who developed Slack?	resource	dbo:Company
Where is the origin of Carolina reaper?	uri	dbo:Town
In which year was Rachel Stevens born?	number
How often did Jane Fonda marry?	number
Was the wife of president Lincoln called Mary?	boolean
Which cities does the Weser flow through?	resource	dbo:City
In which programming language is GIMP written?	resource	dbo:ProgrammingLanguage
Which university did Angela Merkel attend?	resource	dbo:University
List all the musicals with music by Elton John.	resource	dbo:Musical
How many Aldi stores are there?	number
What is the longest river in the world?	resource	dbo:River
When was John Adams born?	date
Which companies produce hovercrafts?	resource	dbo:Company
Who was the wife of U.S. president Lincoln?	resource	dbo:OfficeHolder
Which species does an elephant belong?	string
How many people live in the capital of Australia?	number
In which ancient empire could you pay with cocoa beans?	resource	dbo:PopulatedPlace
How many theories did Albert Einstein come up with?	number
Who composed the soundtrack for Cameron's Titanic?	resource	dbo:MusicalArtist
Give me the runtime of Toy Story.	number
With how many countries Iran has borders?	number
Which electronics companies were founded in Beijing?	resource	dbo:Company
Who was the successor of John F. Kennedy?	resource	dbo:OfficeHolder
Who is the mayor of Paris?	resource	dbo:OfficeHolder
Did Arnold Schwarzenegger attend a university?	boolean
Is James Bond married?	boolean
Does the Isar flow into a lake?	boolean
Which Indian company has the most employees?	resource	dbo:Company
Who was John F. Kennedy's vice president?	resource	dbo:OfficeHolder
Which country does the creator of Miffy come from?	resource	dbo:Country
In what city is the Heineken brewery?	resource	dbo:City
Is Barack Obama a democrat?	boolean
List the children of Margaret Thatcher.	resource	dbo:Person
From which region is the Melon de Bourgogne?	resource	dbo:AdministrativeRegion
how big is the total area of North Rhine- Westphalia?	number
Which city has the most inhabitants?	resource	dbo:City
What is Donald Trump's main business?	resource	dbo:Company
When will start the final match of the football world cup 2018?	date
Which films did Stanley Kubrick direct?	resource	dbo:Film
how much is the population  Iraq?	number
How many inhabitants does the largest city in Canada have?	number
Who is the mayor of the capital of French Polynesia?	resource	dbo:OfficeHolder
Give me all actors starring in movies directed by William Shatner.	resource	dbo:Actor
How tall is Claudia Schiffer?	number
how much is the population densty rank of germany?	number
What is the highest mountain in Italy?	resource	dbo:Mountain,dbo:Location
List all games by GMT.	resource	dbo:Game
What is the official language of Suriname?	resource	dbo:Language
In which city did Nikos Kazantzakis die?	resource	dbo:City
What is in a chocolate chip cookie?	resource	dbo:Food
In which country is the Limerick Lake?	resource	dbo:Country
Give me all video games published by Mean Hamster Software.	resource	dbo:VideoGame
Give me all members of Prodigy.	resource	dbo:MusicalArtist
In which time zone is Rome?	resource	dbo:Country
How high is the lighthouse in Colombo?	number
Who are the writers of the Wall album of Pink Floyd?	string
Who is the mayor of Rotterdam?	resource	dbo:Politician
What is the largest city in Australia?	resource	dbo:City
Who was married to president Chirac?	resource	dbo:Person
What form of government is found in South Africa?	resource	dbo:PopulatedPlace
How high is the Yokohama Marine Tower?	number
Which holidays are celebrated around the world? test2	resource	dbo:Holiday
Who is the tallest basketball player?	resource	dbo:BasketballPlayer
How many languages are spoken in Turkmenistan?	number
Did Che Guevara have children?	boolean
Did Kaurismäki ever win the Grand Prix at Cannes?	boolean
To which party does the mayor of Paris belong?	resource	dbo:PoliticalParty
Who is the Formula 1 race driver with the most races?	resource	dbo:FormulaOneRacer
What country is Sitecore from?	resource	dbo:Country
Give me the birth place of Frank Sinatra.	resource	dbo:City
Is Christian Bale starring in Velvet Goldmine?	boolean
Who is the son of Sonny and Cher?	resource	dbo:Person
How many ethnic groups live in Slovenia?	number
What is the capital of Cameroon?	resource	dbo:City
Was Natalie Portman born in the United States?	boolean
How many pages does War and Peace have?	number
Who is the oldest child of Meryl Streep?	resource	dbo:MusicalArtist
Which television shows were created by Walt Disney?	resource	dbo:TelevisionShow
What does IYCM stand for?	resource	dbo:Organisation
Which types of grapes grow in Oregon?	resource	dbo:Grape
Was U.S. president Jackson involved in a war?	boolean
When was the Titanic completed?	date
Did Tesla win a nobel prize in physics?	boolean
How many states are in Mexico?	number
Which scientist is known for the Manhattan Project and the Nobel Peace Prize?	resource	dbo:Scientist
How much did the Lego Movie cost?	number
Who composed the music for Harold and Maude?	resource	dbo:MusicalArtist
List all episodes of the first season of the HBO television series The Sopranos.	resource	dbo:TelevisionEpisode
Which city has the least inhabitants?	resource	dbo:City
Where is Syngman Rhee buried?	resource
Does Neymar play for Real Madrid?	boolean
Who wrote the book The Pillars of the Earth?	resource	dbo:Writer
Do Prince Harry and Prince William have the same parents?	boolean
Who was the doctoral supervisor of Albert Einstein?	resource	dbo:Scientist
Does Breaking Bad have more episodes than Game of Thrones?	boolean
Who was Vincent van Gogh inspired by?	resource	dbo:Artist
Which building after the Burj Khalifa has the most floors?	resource	dbo:Building
What was the final result of the War of the Roses?	string
How much did Pulp Fiction cost?	number
Is proinsulin a protein?	boolean
Do Urdu and Persian have a common root?	boolean
Who is starring in Spanish movies produced by Benicio del Toro?	resource	dbo:Actor
Is Lake Baikal bigger than the Great Bear Lake?	boolean
Show me all books in Asimov's Foundation series.	resource	dbo:Book
Where was Bach born?	resource	dbo:Town,dbo:Location
Which city has the oldest running metro?	resource	dbo:City
Who designed the Brooklyn Bridge?	resource	dbo:Architect
How many people live in Eurasia?	number
Who is the host of the BBC Wildlife Specials?	resource	dbo:Presenter
What is the total population of Melbourne, Florida?	number
What country is Mount Everest in?	resource	dbo:Country
To which artistic movement did the painter of The Three Dancers belong?	resource	dbo:Organisation
When did Operation Overlord commence?	date
What is the bridge with the longest span?	resource	dbo:Bridge
Is there a video game called Battle Chess?	boolean
Who was buried in the Great Pyramid of Giza?	resource	dbo:Royalty
Does the Ford Motor Company have a manufacturing plant in Malaysia?	boolean
Did Socrates influence Aristotle?	boolean
How many children did Benjamin Franklin have?	number
How tall is Michael Jordan?	number
In which UK city are the headquarters of the MI6?	resource	dbo:City
Who created Family Guy?	resource	dbo:Producer
In which city does the Chile Route 68 end?	resource	dbo:City
Give me the grandchildren of Elvis Presley.	resource	dbo:Person
When did the Ming dynasty dissolve?	date
In which military conflicts did Lawrence of Arabia participate?	resource	dbo:MilitaryConflict
What is the timezone in San Pedro de Atacama?	resource
Give me all books by William Goldman with more than 300 pages.	resource	dbo:Book
What did Bruce Carver die from?	resource	dbo:Disease
Which subsidiary of Lufthansa serves both Dortmund and Berlin Tegel?	resource	dbo:Airline
Does Abraham Lincoln's death place have a website?	boolean
Did Elvis Presley have children?	boolean
Is Michelle Obama the wife of Barack Obama?	boolean
In which city does Sylvester Stallone live?	resource	dbo:City
Which books by Kerouac were published by Viking Press?	resource	dbo:Book
Who wrote the song Hotel California?	resource	dbo:MusicalArtist
What is the capital of Canada?	resource	dbo:City
Who is the mayor of Tel Aviv?	resource	dbo:Politician
What form of government does Russia have?	resource
Show me the book that Muhammad Ali wrote.	resource	dbo:Book
Who was the first to climb Mount Everest?	resource	dbo:Skier
How many languages are spoken in Colombia?	number
What is the currency of the Czech Republic?	resource	dbo:Currency
Where in France is sparkling wine produced?	resource	dbo:WineRegion
When did Boris Becker end his active career?	date
Which movies starring Mickey Rourke were directed by Guy Ritchie?	resource	dbo:Film
In which films did Julia Roberts as well as Richard Gere play?	resource	dbo:Film
Show me Hemingway's autobiography.	resource	dbo:Book
How tall is Amazon Eve?	number
What are the five boroughs of New York?	resource	dbo:Location
Give me all Canadian Grunge record labels.	resource	dbo:RecordLabel
In which country does the Ganges start?	resource	dbo:Country
Who is the founder of Penguin Books?	resource	dbo:BusinessPerson
Who wrote the Game of Thrones theme?	resource	dbo:Writer
Who is the president of Eritrea?	resource	dbo:OfficeHolder
In which city did John F. Kennedy die?	resource	dbo:City
What is the highest mountain in Australia?	resource	dbo:Mountain
Who writes the Farmers' Almanac?	string
Give me the currency of China.	resource	dbo:Currency
Give me all Swedish oceanographers.	resource	dbo:Scientist
In which city are the headquarters of the United Nations?	resource	dbo:City
Is Rita Wilson the wife of Tom Hanks?	boolean
In which countries do people speak Japanese?	resource	dbo:Country
Which of Tim Burton's films had the highest budget?	resource	dbo:Film
Which museum in New York has the most visitors?	resource	dbo:Museum
What was the first Queen album?	resource	dbo:Album
What was the first name of the band Queens of the Stone Age?	string
What was the last movie with Alec Guinness?	resource	dbo:Film
Give me all actors starring in Last Action Hero.	resource	dbo:Actor
Who discovered Pluto?	resource	dbo:Scientist
